n01440764	[tench]【テンチ】,[Tinca tinca]【】
n01443537	[goldfish]【金魚】,[Carassius auratus]【】
n01484850	[great white shark]【ホオジロザメ】,[white shark]【】,[man-eater]【人食い人種】,[man-eating shark]【】,[Carcharodon carcharias]【】
n01491361	[tiger shark]【イタチザメ】,[Galeocerdo cuvieri]【】
n01494475	[hammerhead]【シュモクザメ】,[hammerhead shark]【】
n01496331	[electric ray]【シビレエイ】,[crampfish]【】,[numbfish]【】,[torpedo]【魚雷】
n01498041	[stingray]【アカエイ】
n01514668	[cock]【(干し草などの)円すい形の山】
n01514859	[hen]【めんどり】
n01518878	[ostrich]【ダチョウ】,[Struthio camelus]【】
n01530575	[brambling]【】,[Fringilla montifringilla]【】
n01531178	[goldfinch]【ゴシキヒワ】,[Carduelis carduelis]【】
n01532829	[house finch]【フィンチ】,[linnet]【ベニヒワ】,[Carpodacus mexicanus]【】
n01534433	[junco]【ユキヒメドリ】,[snowbird]【】
n01537544	[indigo bunting]【インディゴホオジロ】,[indigo finch]【】,[indigo bird]【】,[Passerina cyanea]【】
n01558993	[robin]【ロビン】,[American robin]【】,[Turdus migratorius]【】
n01560419	[bulbul]【ブルブル】
n01580077	[jay]【カケス】
n01582220	[magpie]【カササギ】
n01592084	[chickadee]【アメリカコガラ】
n01601694	[water ouzel]【カワガラス】,[dipper]【ひしゃく】
n01608432	[kite]【トビ】
n01614925	[bald eagle]【ハクトウワシ】,[American eagle]【=bald eagle】,[Haliaeetus leucocephalus]【】
n01616318	[vulture]【ハゲタカ】
n01622779	[great grey owl]【カラフトフクロウ】,[great gray owl]【】,[Strix nebulosa]【】
n01629819	[European fire salamander]【ヨーロピアンサラマンダー】,[Salamandra salamandra]【】
n01630670	[common newt]【イモリ】,[Triturus vulgaris]【】
n01631663	[eft]【イモリ】
n01632458	[spotted salamander]【斑点サンショウウオ】,[Ambystoma maculatum]【】
n01632777	[axolotl]【アホロートル】,[mud puppy]【】,[Ambystoma mexicanum]【】
n01641577	[bullfrog]【ウシガエル】,[Rana catesbeiana]【】
n01644373	[tree frog]【アマガエル】,[tree-frog]【】
n01644900	[tailed frog]【】,[bell toad]【】,[ribbed toad]【】,[tailed toad]【】,[Ascaphus trui]【】
n01664065	[loggerhead]【アカウミガメ】,[loggerhead turtle]【】,[Caretta caretta]【】
n01665541	[leatherback turtle]【オサガメ】,[leatherback]【】,[leathery turtle]【】,[Dermochelys coriacea]【】
n01667114	[mud turtle]【カメ】
n01667778	[terrapin]【(北米産の)食用カメ】
n01669191	[box turtle]【ハコガメ】,[box tortoise]【】
n01675722	[banded gecko]【縞模様のヤモリ】
n01677366	[common iguana]【イグアナ】,[iguana]【イグアナ】,[Iguana iguana]【】
n01682714	[American chameleon]【アメリカンカメレオン】,[anole]【】,[Anolis carolinensis]【】
n01685808	[whiptail]【フリルトカゲ】,[whiptail lizard]【】
n01687978	[agama]【アガマトカゲ】
n01688243	[frilled lizard]【フリルトカゲ】,[Chlamydosaurus kingi]【】
n01689811	[alligator lizard]【アリゲータートカゲ】
n01692333	[Gila monster]【アメリカドクトカゲ】,[Heloderma suspectum]【】
n01693334	[green lizard]【緑のトカゲ】,[Lacerta viridis]【】
n01694178	[African chameleon]【アフリカのカメレオン】,[Chamaeleo chamaeleon]【】
n01695060	[Komodo dragon]【コモドドラゴン】,[Komodo lizard]【】,[dragon lizard]【】,[giant lizard]【】,[Varanus komodoensis]【】
n01697457	[African crocodile]【アフリカのワニ】,[Nile crocodile]【】,[Crocodylus niloticus]【】
n01698640	[American alligator]【アメリカワニ】,[Alligator mississipiensis]【】
n01704323	[triceratops]【トリケラトプス】
n01728572	[thunder snake]【サンダースネーク】,[worm snake]【】,[Carphophis amoenus]【】
n01728920	[ringneck snake]【環の模様が首の周りにある鳥のヘビ】,[ring-necked snake]【】,[ring snake]【】
n01729322	[hognose snake]【hognoseヘビ】,[puff adder]【(アフリカ産の)大毒蛇(怒ると胴をふくらませる)】,[sand viper]【】【】
n01729977	[green snake]【緑のヘビ】,[grass snake]【】【】
n01734418	[king snake]【キングスネーク】,[kingsnake]【】
n01735189	[garter snake]【ガーターヘビ】,[grass snake]【】【】
n01737021	[water snake]【水蛇】
n01739381	[vine snake]【つるヘビ】
n01740131	[night snake]【夜のヘビ】,[Hypsiglena torquata]【】
n01742172	[boa constrictor]【ボア・コンストリクター】,[Constrictor constrictor]【】
n01744401	[rock python]【ロックパイソン】,[rock snake]【】,[Python sebae]【】
n01748264	[Indian cobra]【インディアンコブラ】,[Naja naja]【】
n01749939	[green mamba]【グリーンマンバ】
n01751748	[sea snake]【海へび】
n01753488	[horned viper]【ツノクサリヘビ】,[cerastes]【】,[sand viper]【】【】,[horned asp]【】,[Cerastes cornutus]【】
n01755581	[diamondback]【ヒシモンガラガラヘビ】,[diamondback rattlesnake]【】,[Crotalus adamanteus]【】
n01756291	[sidewinder]【ヨコバイガラガラヘビ】,[horned rattlesnake]【】,[Crotalus cerastes]【】
n01768244	[trilobite]【三葉虫】
n01770081	[harvestman]【刈り入れ作業者】,[daddy longlegs]【メクラグモ】,[Phalangium opilio]【】
n01770393	[scorpion]【サソリ】
n01773157	[black and gold garden spider]【家クモ】,[Argiope aurantia]【】
n01773549	[barn spider]【納屋クモ】,[Araneus cavaticus]【】
n01773797	[garden spider]【庭クモ】,[Aranea diademata]【】
n01774384	[black widow]【黒後家クモ】,[Latrodectus mactans]【】
n01774750	[tarantula]【舞踊グモ】
n01775062	[wolf spider]【オオカミのクモ】,[hunting spider]【】
n01776313	[tick]【ダニ】
n01784675	[centipede]【ムカデ】
n01795545	[black grouse]【クロライチョウ】
n01796340	[ptarmigan]【ライチョウ】
n01797886	[ruffed grouse]【エリマキライチョウ】,[partridge]【ヤマウズラ】【ヤマウズラ】,[Bonasa umbellus]【】
n01798484	[prairie chicken]【草原チキン】,[prairie grouse]【】,[prairie fowl]【】
n01806143	[peacock]【雄クジャク】
n01806567	[quail]【クウェール】
n01807496	[partridge]【ヤマウズラ】【ヤマウズラ】
n01817953	[African grey]【コマドリ】,[African gray]【】,[Psittacus erithacus]【】
n01818515	[macaw]【コンゴウインコ】
n01819313	[sulphur-crested cockatoo]【キバタン】,[Kakatoe galerita]【】,[Cacatua galerita]【】
n01820546	[lorikeet]【ヒインコ】
n01824575	[coucal]【バンケン属】
