n01440764	[tench],[Tinca tinca]
n01443537	[goldfish],[Carassius auratus]【金魚】
n01484850	[great white shark],[white shark],[man-eater],[man-eating shark],[Carcharodon carcharias]【白鮫】
n01491361	[tiger shark],[Galeocerdo cuvieri]【イタチザメ】
n01494475	[hammerhead],[hammerhead shark]【撞木鮫】
n01496331	[electric ray],[crampfish],[numbfish],[torpedo]【魚雷】
n01498041	[stingray]【鱝】
n01514668	[cock]【鶏】
n01514859	[hen]【鶏】
n01518878	[ostrich],[Struthio camelus]【鴕鳥】
n01530575	[brambling],[Fringilla montifringilla]【花鶏】
n01531178	[goldfinch],[Carduelis carduelis]
n01532829	[house finch],[linnet],[Carpodacus mexicanus]【メキシコマシコ】
n01534433	[junco],[snowbird]
n01537544	[indigo bunting],[indigo finch],[indigo bird],[Passerina cyanea]【ルリノジコ】
n01558993	[robin],[American robin],[Turdus migratorius]【駒鳥】
n01560419	[bulbul]【鵯】
n01580077	[jay]【樫鳥】
n01582220	[magpie]【鵲】
n01592084	[chickadee]【四十雀】
n01601694	[water ouzel],[dipper]【柄杓】
n01608432	[kite]【鳶凧】
n01614925	[bald eagle],[American eagle],[Haliaeetus leucocephalus]【白頭鷲】
n01616318	[vulture]【禿鷹】
n01622779	[great grey owl],[great gray owl],[Strix nebulosa]【カラフトフクロウ】
n01629819	[European fire salamander],[Salamandra salamandra]
n01630670	[common newt],[Triturus vulgaris]
n01631663	[eft]
n01632458	[spotted salamander],[Ambystoma maculatum]
n01632777	[axolotl],[mud puppy],[Ambystoma mexicanum]【アホロートル】
n01641577	[bullfrog],[Rana catesbeiana]【食用蛙】
n01644373	[tree frog],[tree-frog]【青蛙】
n01644900	[tailed frog],[bell toad],[ribbed toad],[tailed toad],[Ascaphus trui]
n01664065	[loggerhead],[loggerhead turtle],[Caretta caretta]【赤海亀】
n01665541	[leatherback turtle],[leatherback],[leathery turtle],[Dermochelys coriacea]
n01667114	[mud turtle]【鼈】
n01667778	[terrapin]【スッポン】
n01669191	[box turtle],[box tortoise]
n01675722	[banded gecko]
n01677366	[common iguana],[iguana],[Iguana iguana]【イグアナ】
n01682714	[American chameleon],[anole],[Anolis carolinensis]
n01685808	[whiptail],[whiptail lizard]
n01687978	[agama]
n01688243	[frilled lizard],[Chlamydosaurus kingi]
n01689811	[alligator lizard]
n01692333	[Gila monster],[Heloderma suspectum]
n01693334	[green lizard],[Lacerta viridis]
n01694178	[African chameleon],[Chamaeleo chamaeleon]
n01695060	[Komodo dragon],[Komodo lizard],[dragon lizard],[giant lizard],[Varanus komodoensis]【コモド大蜥蜴】
n01697457	[African crocodile],[Nile crocodile],[Crocodylus niloticus]【ナイル鰐】
n01698640	[American alligator],[Alligator mississipiensis]【ミシシッピ鰐】
n01704323	[triceratops]【三角竜】
n01728572	[thunder snake],[worm snake],[Carphophis amoenus]【盲蛇】
n01728920	[ringneck snake],[ring-necked snake],[ring snake]
n01729322	[hognose snake],[puff adder],[sand viper]
n01729977	[green snake],[grass snake]
n01734418	[king snake],[kingsnake]
n01735189	[garter snake],[grass snake]
